iter	Logloss
0	0.6748121672
1	0.6581409495
2	0.6421004368
3	0.6272601206
4	0.6136500969
5	0.6011241228
6	0.589393471
7	0.5783269957
8	0.5681153354
9	0.5585690304
10	0.5499206317
11	0.5416137925
12	0.5339471017
13	0.5266892052
14	0.5199271666
15	0.5140851686
16	0.5086602904
17	0.5033159958
18	0.4982933026
19	0.4934302231
20	0.489011713
21	0.4847522221
22	0.4813034516
23	0.4778978162
24	0.4746862603
25	0.4717562378
26	0.4687593624
27	0.466004483
28	0.4635416902
29	0.4610846038
30	0.459027824
31	0.4569187613
32	0.4550327406
33	0.4530732752
34	0.4514098404
35	0.4497137993
36	0.4483201529
37	0.4466992985
38	0.4454585905
39	0.4443133311
40	0.4431520365
41	0.4420186341
42	0.440744106
43	0.4396575705
44	0.4388578083
45	0.4378205284
46	0.4369692156
47	0.4361908803
48	0.435457885
49	0.4346868949
50	0.4339907027
51	0.4333487201
52	0.4326893375
53	0.4320266728
54	0.4313923847
55	0.4307819997
56	0.4301743831
57	0.4295480046
58	0.4290117046
59	0.4284588242
60	0.4279478805
61	0.427546897
62	0.4270629016
63	0.4266931657
64	0.4262897111
65	0.4259544272
66	0.4256088263
67	0.4252728945
68	0.4249001217
69	0.424556306
70	0.4242221917
71	0.4239127586
72	0.4235598853
73	0.4233013791
74	0.4230117472
75	0.4227215354
76	0.4224074482
77	0.4221054794
78	0.4218359953
79	0.4215002517
80	0.4212814013
81	0.4210713738
82	0.4208509974
83	0.4206835698
84	0.4204856714
85	0.4202829709
86	0.4200887623
87	0.4199168551
88	0.4196063966
89	0.4193954334
90	0.4191788481
91	0.419016802
92	0.4187621954
93	0.4184632843
94	0.4183368368
95	0.4181459171
96	0.4179010641
97	0.4176559269
98	0.4175028691
99	0.41729963
100	0.4171622546
101	0.416940196
102	0.4167670644
103	0.4166841806
104	0.4164869714
105	0.4163408233
106	0.4160604666
107	0.4158493469
108	0.4156965506
109	0.4154097728
110	0.4153206568
111	0.4151055871
112	0.4149352589
113	0.4148225057
114	0.414652898
115	0.4144282763
116	0.4143390581
117	0.414236422
118	0.414073526
119	0.4139103001
120	0.413782153
121	0.4136440589
122	0.4135518929
123	0.4134552699
124	0.413348675
125	0.4131709604
126	0.4129971309
127	0.4128027428
128	0.4126430152
129	0.4125329384
130	0.4124019206
131	0.4122871228
132	0.4121409068
133	0.4120229578
134	0.411873663
135	0.4117304104
136	0.4115582275
137	0.4113650922
138	0.411237431
139	0.4110327648
140	0.4109155281
141	0.4107486485
142	0.4106235428
143	0.4104819945
144	0.4102763982
145	0.4101814288
146	0.4100503077
147	0.4098516402
148	0.4097621366
149	0.409609562
150	0.4094560975
151	0.4093122519
152	0.4091758304
153	0.4090768543
154	0.4089744987
155	0.4088588583
156	0.408725035
157	0.4085976994
158	0.408520631
159	0.4084039918
160	0.408302099
161	0.4082011964
162	0.4080977718
163	0.4079535732
164	0.4078014396
165	0.4076879388
166	0.4075773279
167	0.4074499706
168	0.4073490078
169	0.4072831934
170	0.4071905004
171	0.407087902
172	0.4069146109
173	0.4068269425
174	0.4067095364
175	0.4065443734
176	0.4063862604
177	0.4062602349
178	0.4061455757
179	0.4060009258
180	0.4058661114
181	0.4057757833
182	0.4056679229
183	0.4055947133
184	0.4054471844
185	0.4053521196
186	0.4052676711
187	0.4051407598
188	0.4050085712
189	0.4049049375
190	0.4047552723
191	0.404678335
192	0.4045270862
193	0.4044807414
194	0.404375755
195	0.4041992293
196	0.4040985909
197	0.4040248508
198	0.4039515618
199	0.4038424399
200	0.4036665902
201	0.4035454959
202	0.4034741679
203	0.4032943088
204	0.4031902091
205	0.4030613934
206	0.4029677508
207	0.4028095978
208	0.402733609
209	0.4026526896
210	0.4024964394
211	0.4023597254
212	0.4022229
213	0.4021548366
214	0.4020254046
215	0.4019202203
216	0.4018026745
217	0.4016674451
218	0.4015788021
219	0.401474188
220	0.4013623867
221	0.4012306408
222	0.4011115053
223	0.4010243661
224	0.4009329035
225	0.4008595349
226	0.4007605875
227	0.4006580697
228	0.4005991255
229	0.4004224059
230	0.4003226154
231	0.4002216848
232	0.4001440477
233	0.4000865296
234	0.3999278767
235	0.3998409733
236	0.3997562468
237	0.3996562427
238	0.3995563835
239	0.3994239138
240	0.3993456531
241	0.399231648
242	0.3991711636
243	0.3990576032
244	0.3989782754
245	0.3988957649
246	0.3988176357
247	0.3987173786
248	0.3986335566
249	0.3984927819
250	0.3984354394
251	0.3983812517
252	0.3982490161
253	0.3981223524
254	0.3980637931
255	0.3979411755
256	0.3978546801
257	0.397798458
258	0.3977187255
259	0.3975952407
260	0.3974607206
261	0.3973616378
262	0.3972049488
263	0.3970984077
264	0.3970256563
265	0.3969455192
266	0.3968983635
267	0.3967804191
268	0.3967502424
269	0.396613736
270	0.3965079649
271	0.3963676746
272	0.3962390283
273	0.3960988686
274	0.396032768
275	0.3959459465
276	0.395890605
277	0.3957867927
278	0.3957238511
279	0.3955218096
280	0.3954160381
281	0.3952810665
282	0.3951988553
283	0.3950614598
284	0.3949626231
285	0.3948281385
286	0.394733532
287	0.3946237294
288	0.3945416869
289	0.3944239367
290	0.3943245669
291	0.3942434724
292	0.3941674926
293	0.3940587627
294	0.3939612968
295	0.39382525
296	0.3937845839
297	0.3936723713
298	0.393574289
299	0.3934649855
300	0.3933680661
301	0.3932380826
302	0.3931452769
303	0.3930590434
304	0.3929543041
305	0.3928374678
306	0.3927864276
307	0.3927273589
308	0.3926530714
309	0.392583482
310	0.3924749925
311	0.3923922746
312	0.3923239629
313	0.3921480574
314	0.3920762933
315	0.3919702997
316	0.3918512753
317	0.3917467187
318	0.3916142806
319	0.3915255875
320	0.3914042969
321	0.3912988895
322	0.3912156155
323	0.3911037006
324	0.3910026998
325	0.3909180789
326	0.3907658675
327	0.3906847479
328	0.3905630241
329	0.3905015689
330	0.3904117532
331	0.3902490543
332	0.3901727063
333	0.3900676456
334	0.3899443248
335	0.3897524742
336	0.3896295597
337	0.3895215774
338	0.3893951878
339	0.3892209322
340	0.3890045791
341	0.3888661576
342	0.3887282636
343	0.3885775052
344	0.3884944148
345	0.3883444887
346	0.3882849333
347	0.3882026478
348	0.388057245
349	0.38799784
350	0.387897727
351	0.3878105699
352	0.3876483785
353	0.3875243368
354	0.3873591702
355	0.387248033
356	0.387112056
357	0.3870162072
358	0.3869035795
359	0.3867718044
360	0.3866637312
361	0.3864790116
362	0.3863402321
363	0.3861671917
364	0.3859910645
365	0.3858609268
366	0.385762834
367	0.3855964396
368	0.3854341683
369	0.3853407056
370	0.3852194114
371	0.3850397022
372	0.3848192076
373	0.3846544541
374	0.3845432644
375	0.3843902243
376	0.3842949657
377	0.3841831913
378	0.384085279
379	0.383909355
380	0.3837896608
381	0.3836140825
382	0.3834847137
383	0.3833809418
384	0.3833480769
385	0.3831876838
386	0.3830010984
387	0.3829233822
388	0.3827518295
389	0.3826470237
390	0.3824672346
391	0.3823857493
392	0.3821575788
393	0.3820443741
394	0.3818801517
395	0.381715245
396	0.3815638435
397	0.3813695661
398	0.3812435481
399	0.3810781211
400	0.3809322059
401	0.3808480794
402	0.3807213704
403	0.3806283267
404	0.3804356601
405	0.3803739729
406	0.3802373441
407	0.380120167
408	0.3799607193
409	0.3798202858
410	0.3797230081
411	0.3795793372
412	0.3794544446
413	0.3793701151
414	0.3792507984
415	0.3791280125
416	0.3789517901
417	0.3788206158
418	0.378710459
419	0.3785828827
420	0.3785262548
421	0.3783517619
422	0.3781518098
423	0.3780822907
424	0.3779941756
425	0.3779031128
426	0.3777393716
427	0.3775695593
428	0.3774526642
429	0.3773207631
430	0.3772022428
431	0.3771221488
432	0.3769768519
433	0.3768639908
434	0.3767215973
435	0.3765449708
436	0.3764632824
437	0.3763159793
438	0.3762198909
439	0.3760970279
440	0.3759125576
441	0.3757799544
442	0.3756682458
443	0.3755404485
444	0.3753871479
445	0.3753250069
446	0.3752309301
447	0.3751116252
448	0.3750210847
449	0.3749051377
450	0.3747885166
451	0.3746621891
452	0.3745667447
453	0.3744516072
454	0.3743222165
455	0.3741906863
456	0.374035526
457	0.3738567302
458	0.3737628421
459	0.3735863311
460	0.3734254525
461	0.3733504644
462	0.3732675085
463	0.3731527008
464	0.3730762312
465	0.3729689318
466	0.372871025
467	0.3727373344
468	0.3726134683
469	0.3725088132
470	0.3723533664
471	0.3721359604
472	0.3720712425
473	0.3719489191
