iter	Passed	Remaining
0	157	156896
1	270	135154
2	344	114437
3	472	117598
4	564	112242
5	655	108517
6	709	100593
7	798	98989
8	849	93535
9	937	92799
10	1097	98677
11	1178	96991
12	1216	92371
13	1315	92673
14	1493	98055
15	1518	93385
16	1621	93785
17	1724	94097
18	1749	90309
19	1874	91832
20	1911	89116
21	2034	90440
22	2066	87771
23	2161	87902
24	2192	85507
25	2262	84757
26	2312	83324
27	2373	82401
28	2403	80490
29	2460	79543
30	2525	78934
31	2618	79205
32	2747	80517
33	2819	80117
34	2859	78847
35	2930	78470
36	3004	78208
37	3080	77988
38	3108	39	33439	3182	40	34140	3337	78073
41	3389	77303
42	3417	76065
43	3447	44	3741	79393
45	37945	3649	75679
46	3719	75426
47	3784	75059
48	3820	74143
49	3898	74066
50	3974	73964
51	4043	73711
52	4110	73452
53	4166	72992
54	4234	72761
55	4296	72431
56	4359	72120
57	4434	72026
58	4497	71730
59	4543	71182
60	4588	70637
61	4621	69918
62	4654	69232
63	4739	69308
64	4790	68915
65	4825	68283
66	4902	68269
67	4932	67606
68	4967	67027
69	4998	66409
70	5047	66043
71	5091	65619
72	5150	65398
73	5224	65381
74	5292	65275
75	5343	64967
76	5417	64935
77	5453	64457
78	5500	64128
79	5534	63651
80	5573	63233
81	5599	62683
82	5617	62068
83	5659	61714
84	5687	61220
85	5720	60800
86	5746	60303
87	5771	59816
88	5797	59344
89	5827	58925
90	5845	58386
91	5872	57957
92	5916	57697
93	5948	57337
94	5980	56971
95	6017	56668
96	6047	56296
97	6076	55927
98	6097	55495
99	6180	55626
100	6226	55423
101	6268	55184
102	6315	55002
103	6344	54659
104	6368	54280
105	6400	53981
106	6496	54215
107	6543	54043
108	6564	53657
109	6612	53498
110	6649	53258
111	6687	53024
112	6715	52712
113	6749	52454
114	6792	52270
115	6813	51925
116	6862	51790
117	6915	51692
118	6960	51532
119	7008	51393
120	7057	51269
121	7118	51228
122	7175	51160
123	7220	51008
124	7252	50769
125	7285	50534
126	7313	50270
127	7357	50121
128	7395	49935
129	7427	49710
130	7480	49625
131	7515	49422
132	7572	49363
133	7618	49233
134	7651	49029
135	7684	48820
136	7721	48639
137	7770	48538
138	7822	48456
139	7871	48354
140	7903	48147
141	7939	47974
142	7975	47797
143	8009	47612
144	8060	47527
145	8103	47401
146	8143	47256
147	8190	47153
148	8243	47080
149	8290	46978
150	8309	46718
151	8368	46687
152	8415	46589
153	8459	46472
154	8511	46400
155	8560	46313
156	8634	46360
157	8686	46293
158	8719	46119
159	8756	45973
160	8775	45729
161	8814	45598
162	8850	45447
163	8884	45291
164	8910	45093
165	8936	44898
166	8965	44721
167	9035	44745
168	9082	44658
169	9128	44568
170	9177	44490
171	9217	44371
172	9269	44309
173	9311	44202
174	9361	44130
175	9408	44047
176	9447	43929
177	9487	43814
178	9534	43729
179	9579	43641
180	9621	43536
181	9657	43403
182	9694	43279
183	9738	43187
184	9797	43163
185	9842	43072
186	9889	42996
187	9934	42908
188	9979	42823
189	10023	42729
190	10068	42645
191	10131	42634
192	10174	42544
193	10241	42550
194	10292	42491
195	10346	42440
196	10398	42384
197	10454	42346
198	10513	42317
199	10567	42270
200	10600	42139
201	10656	42098
202	10705	42029
203	10752	41955
204	10805	41906
205	10877	41925
206	10921	41838
207	10952	41704
208	10980	41556
209	11015	41439
210	11061	41363
211	11089	41219
212	11123	41097
213	11167	41015
214	11219	40964
215	11301	41018
216	11363	41003
217	11419	40962
218	11496	40999
219	11559	40983
220	11624	40976
221	11675	40918
222	11746	40929
223	11776	40795
224	11843	40793
225	11871	40658
226	11909	40556
227	11948	40455
228	12007	40425
229	12059	40371
230	12119	40344
231	12153	40233
232	12191	40130
233	12215	39987
234	12254	39891
235	12278	39749
236	12319	39661
237	12348	39534
238	12382	39425
239	12415	39315
240	12483	39316
241	12500	39154
242	12564	39141
243	12637	39155
244	12693	39116
245	12745	39064
246	12795	39008
247	12849	38964
248	12894	38890
249	12919	38759
250	12953	38653
251	13007	38609
252	13036	38491
253	13081	38420
254	13109	38300
255	13129	38157
256	13161	38049
257	13195	37950
258	13219	37820
259	13265	37756
260	13314	37698
261	13335	37563
262	13381	37497
263	13430	37441
264	13490	37415
265	13512	37285
266	13549	37198
267	13585	37106
268	13612	36990
269	13647	36899
270	13704	36865
271	13746	36793
272	13791	36726
273	13881	36780
274	13910	36673
275	13937	36560
276	13986	36507
277	14034	36450
278	14066	36351
279	14110	36284
280	14152	36212
281	14191	36132
282	14233	36061
283	14278	35997
284	14294	35861
285	14325	35763
286	14348	35645
287	14404	35611
288	14459	35572
